trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
178,False,"{'a': 0.9, 'e': 0.2876531111451154}",25,10,-40.29413051939808,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
179,False,"{'a': 0.9, 'e': 0.28564657045289016}",25,4,6.910832684279596,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.9, 'e': 0.2836540264997704}",20,2,-32.128252713338455,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
181,False,"{'a': 0.9, 'e': 0.28167538165070355}",20,0,0.4307816291129236,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
182,False,"{'a': 0.9, 'e': 0.27971053895169634}",20,0,-1.7124051435560657,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
183,False,"{'a': 0.9, 'e': 0.2777594021250632}",20,2,9.809887294571219,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
184,False,"{'a': 0.9, 'e': 0.27582187556470933}",30,12,19.686437889123543,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.9, 'e': 0.2738978643314456}",20,6,-26.656936703792397,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
186,False,"{'a': 0.9, 'e': 0.2719872741483365}",20,12,8.081552897875373,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.9, 'e': 0.270090011396081}",20,10,8.285641892670476,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.9, 'e': 0.2682059831084244}",20,0,-71.94099171524748,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
189,False,"{'a': 0.9, 'e': 0.2663350969676039}",20,6,-0.05608131509315539,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
190,False,"{'a': 0.9, 'e': 0.26447726129982396}",20,0,-2.7889112571441768,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
191,False,"{'a': 0.9, 'e': 0.26263238507076536}",30,0,-16.271456787073937,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
192,False,"{'a': 0.9, 'e': 0.26080037788112365}",20,4,-94.33340981659404,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 2}",1
193,False,"{'a': 0.9, 'e': 0.25898114996218}",25,0,-24.462530354126596,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
194,False,"{'a': 0.9, 'e': 0.2571746121714024}",35,24,16.88200788723562,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.9, 'e': 0.2553806759880777}",20,10,17.465487953737444,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
